country,avg_temp,lat,lon,iso_code
Afghanistan,20.879216354344123,34.517481431005116,69.1825185689949,
Albania,21.474446337308347,41.32809199318569,19.819160477001702,
Algeria,22.220819112627986,36.762369965870306,3.0504587030716723,
Andorra,11.086371379897786,42.5,1.5174814310051106,
Angola,26.14855195911414,-8.83870255536627,13.233358091993185,
Antigua and Barbuda,26.720754716981133,17.117475471698118,-61.85000000000001,
Argentina,14.081367521367522,-34.58808974358975,-58.67191025641025,ARG
Armenia,19.38330494037479,40.1808395229983,44.5127475298126,
Australia,13.44327086882453,-35.286845655877336,149.21024122657582,AUS
Austria,14.563651877133104,48.2,16.367477133105805,
Azerbaijan,20.536860068259386,40.39640682593856,49.8816819112628,
Bahamas,25.26523235800344,25.082521858864027,-77.35,
Bahrain,31.451788756388417,26.237023509369674,50.58236592844975,
Bangladesh,31.159658119658122,23.72236871794872,90.40893025641026,
Barbados,27.32482876712329,13.1,-59.617485445205475,
Belarus,12.103747870528109,53.9,27.56748143100511,
Belgium,13.572559366754618,50.97703465259455,4.024586279683377,
Belize,22.687307032590052,17.25,-88.76748679245283,
Benin,28.4820819112628,6.4825228668941985,2.617477133105802,
Bhutan,13.75409556313993,27.4825228668942,89.6,
Bolivia,17.149871244635193,-15.109071244635192,-66.17173605150214,
Bosnia and Herzegovina,14.96388415672913,43.85,18.38251856899489,
Botswana,23.623850085178876,-24.647252470187393,25.911450085178874,
Brazil,24.471698113207548,-2.1193056603773583,-58.147675471698115,BRA
Brunei Darussalam,29.251365187713308,4.882522866894198,114.9325228668942,
Bulgaria,17.110700828937453,43.09806171816127,23.9119142426526,
Burkina Faso,28.677815699658705,12.370229351535835,-1.5235931740614335,
Burundi,26.407155025553664,-3.377023509369676,29.36,
Bélgica,17.4,51.1,4.75,
Cambodia,31.20443686006826,11.55,104.91748276450512,
Cameroon,25.47025641025641,6.457068717948718,12.585918974358975,
Canada,6.972602739726027,45.41748544520548,-75.7,CAN
Cape Verde,24.686201022146506,14.931144804088587,-23.51190800681431,
Central African Republic,28.76757679180887,4.367477133105802,18.582522866894198,
Chad,30.52180579216354,12.112365928449744,15.049389437819423,
Chile,10.200171232876711,-33.45,-70.66748544520549,
China,19.15051194539249,39.9291590443686,116.38870034129692,CHN
Colombia,13.5,4.6,-74.08,
Comoros,26.171794871794873,-11.70321641025641,43.240229743589744,
Congo,27.095051194539252,-4.259388395904437,15.283593174061435,
Costa Rica,19.771428571428572,9.833590017211705,-84.14691290877798,
Cote d'Ivoire,22.811904761904763,6.8167,-5.2833,
Croatia,16.084102564102565,45.8,16.0,
Cuba,23.275814751286447,23.131446998284737,-82.36319862778731,
Cyprus,26.37542662116041,35.1674771331058,33.3674771331058,
Czech Republic,12.7875,50.082531506849314,14.467468493150685,
Democratic Republic of Congo,27.021061643835615,-4.3,15.3,
Denmark,12.53344709897611,55.6674771331058,12.582522866894198,
Djibouti,32.37794871794871,11.596170940170941,43.14854495726495,
Dominica,26.86917808219178,15.3,-61.4,
Dominican Republic,24.272041166380788,18.46748113207547,-69.9,
Ecuador,10.389862542955326,-0.2174881443298969,-78.5,
Egypt,27.140784982935152,30.049999999999997,31.25,EGY
El Salvador,23.70172117039587,13.708930120481929,-89.20236901893288,
Equatorial Guinea,27.337137989778533,3.75,8.78251856899489,
Eritrea,21.752470187393527,15.332518568994887,38.93251856899489,
Estonia,11.169624573378838,59.432981569965875,24.72854744027304,
Estonie,23.3,59.43,24.73,
Ethiopia,20.147692307692306,9.032527179487179,38.7,
Fiji Islands,24.210732538330497,-18.13251856899489,178.41748143100511,
Finland,11.032197614991482,60.17664190800682,24.933205451448043,
France,14.539590443686008,48.86748276450512,2.3325172354948807,FRA
Gabon,27.08293515358362,0.38252286689419795,9.45,
Gambia,25.709914529914528,13.452374017094016,-16.57808547008547,
Georgia,19.125470085470084,41.726170940170945,44.790612649572644,
Germany,13.81686541737649,52.517481431005116,13.4,DEU
Ghana,27.486371379897786,5.55,-0.21748143100511075,
Greece,23.747684391080618,37.979617495711835,23.71709296740995,
Grenada,27.317667238421958,12.05,-61.75,
Guatemala,17.382444061962136,14.620840619621342,-90.52763098106712,
Guinea,26.396757679180887,9.50938976109215,-13.711678156996586,
Guinea-Bissau,26.08228279386712,11.85,-15.582518568994887,
Guyana,24.722602739726028,6.8,-58.16748544520547,
Haiti,21.811835334476843,18.53939073756432,-72.33619210977702,
Honduras,19.256701030927836,14.099999999999998,-87.21748247422681,
Hungary,16.14957698815567,47.49788494077834,19.063488324873095,
Iceland,6.379522184300342,63.563225255972704,-20.71913822525597,
Inde,31.2,28.6,77.2,
India,30.935384615384617,28.6,77.2,IND
Indonesia,28.052255319148937,-7.190949446808512,110.57078910638297,IDN
Iran,21.067493584260053,35.99332360992301,48.97029016253208,
Iraq,31.188756388415673,33.33893151618398,44.392976490630325,
Ireland,11.877094017094018,53.33236871794872,-6.2491594871794875,
Israel,25.29334470989761,31.780000000000005,35.23,
Italy,20.46296928327645,41.9,12.482522866894197,ITA
Jamaica,27.130531732418525,17.94951869639794,-76.83293310463121,
Japan,20.709880749574108,35.68961839863714,139.69129744463373,JPN
Jemen,26.1,15.35,44.21,
Jordan,23.567802385008516,31.949999999999996,35.93251856899489,
Kazakhstan,10.773378839590443,51.180840955631396,71.4283180887372,
Kenya,22.080442176870747,-1.2872251700680273,36.822332653061224,
Kiribati,27.864615384615384,-0.8825271794871795,169.53252717948718,
Komoren,25.2,-12.35,43.85,
Kosovo,29.3,42.67,21.17,
Kuwait,33.21856899488927,29.367481431005114,47.960034071550254,
Kyrghyzstan,18.424232081911263,42.872369965870305,74.60022935153584,
Lao People's Democratic Republic,25.0,17.97,102.6,
Latvia,12.092478632478633,56.95,24.1,
Lebanon,24.634017094017093,33.871451794871795,35.50977076923077,
Lesotho,19.38037542662116,-29.317477133105804,27.4825228668942,
Letonia,20.6,56.95,24.1,
Liberia,26.284982935153582,6.310458703071673,-10.803593174061433,
Libya,27.0,32.89,13.18,
Liechtenstein,11.86433447098976,47.1325228668942,9.517477133105803,
Lithuania,11.755631399317407,54.682522866894196,25.317477133105804,
Luxembourg,12.078461538461537,49.611301880341884,6.13,
Macedonia,18.96260720411664,42.0,21.432524528301887,
Madagascar,26.068421052631578,-21.306184019138755,47.04962832535885,
Malawi,24.750425894378193,-13.98251856899489,33.78251856899489,
Malaysia,29.9603066439523,3.1674814310051107,101.7,
Maldives,27.981164383561644,6.679945890410959,73.12571917808219,
Mali,27.22436115843271,12.65,-8.0,
Malta,23.40732538330494,35.89977103918228,14.513587052810902,
Malásia,24.3,4.63,118.37,
Marrocos,40.3,31.63,-8.0,
Marshall Islands,28.11925042589438,7.1,171.38251856899487,
Mauritania,24.38739352640545,18.087252470187394,-15.976412947189099,
Mauritius,26.41533219761499,-20.161450085178874,57.4991604770017,
Mexico,14.44003436426117,19.42885567010309,-99.12824536082475,MEX
Mexique,27.4,27.42,-109.93,
Micronesia,27.935665529010237,6.917477133105802,158.15,
Monaco,19.206495726495724,43.73252717948718,7.41747282051282,
Mongolia,5.86974358974359,47.917478461538465,106.91747846153847,
Montenegro,20.547610921501708,42.4408409556314,19.262752218430034,
Morocco,20.12803418803419,34.026400683760684,-6.837013333333333,
Mozambique,25.875979557069847,-25.966412947189095,32.58938943781942,
Myanmar,30.37376490630324,16.78251856899489,96.12823100511073,
Namibia,23.18617747440273,-22.571299658703072,17.081681911262798,
Nepal,23.368600682593858,27.717477133105803,85.3174771331058,
Netherlands,13.751706484641637,52.37305802047782,4.889770648464164,
New Zealand,13.410562180579216,-41.3,174.78251856899487,
Nicaragua,24.16941580756014,12.15061030927835,-86.2687030927835,
Niger,29.929863481228672,13.549729692832765,2.045790443686007,
Nigeria,27.865247018739353,9.176794548551959,7.180610562180579,
North Korea,15.224232081911262,39.019541296928324,125.75359317406142,
Norway,9.273208191126281,59.917477133105805,10.75,
Oman,32.194548551959116,23.61251856899489,58.59251856899489,
Pakistan,29.26518771331058,33.7,73.1674771331058,
Palau,28.082252559726964,7.349898976109214,134.53035392491466,
Panama,25.528644939965695,8.96748679245283,-79.53251320754717,
Papua New Guinea,26.65853242320819,-9.463593174061433,147.1919112627986,
Paraguay,20.613139931740612,-22.456517576791807,-60.65749744027304,
Peru,17.20549828178694,-12.05,-77.05,
Philippines,29.919624573378844,14.603210921501708,120.9816819112628,
Poland,13.827086882453152,52.25,21.0,
Polônia,27.7,53.33,21.62,
Portugal,18.104273504273504,38.717472820512825,-9.13252717948718,
Qatar,33.822013651877135,25.287482764505118,51.53251723549488,
Romania,17.938907849829352,44.432522866894196,26.1,
Russia,11.91542288557214,55.80561459369818,38.02019701492537,RUS
Rwanda,24.461774744027306,-1.952752218430034,30.060458703071674,
Saint Kitts and Nevis,27.016581196581196,17.3,-62.7174841025641,
Saint Lucia,27.246324786324788,14.0,-61.0,
Saint Vincent and the Grenadines,27.506506849315066,13.132520205479453,-61.21747979452056,
Saint-Vincent-et-les-Grenadines,27.8,13.13,-61.22,
Samoa,25.660996563573885,-13.832517525773197,-171.7325175257732,
San Marino,18.34143835616438,43.93253150684932,12.45,
Saudi Arabia,32.824786324786324,24.64061128205128,46.77213948717949,SAU
Saudi Arabien,45.0,24.64,46.77,
Senegal,25.42350936967632,14.67061056218058,-17.438549914821124,
Serbia,17.401706484641636,44.80305802047781,20.466253924914675,
Seychelles Islands,28.742662116040957,-4.617477133105802,55.45,
Sierra Leone,26.129794520547943,8.49,-13.233214726027397,
Singapore,29.65536626916525,1.2923659284497444,103.85679454855196,
Slovakia,15.088225255972697,48.15,17.117477133105805,
Slovenia,14.950425894378194,46.0564129471891,14.513358091993187,
Solomon Islands,26.868654173764906,-9.432518568994888,159.95,
Somalia,28.859385665529008,2.067477133105802,45.3674771331058,
South Africa,21.277001703577515,-25.747634071550255,28.188473594548547,ZAF
South Korea,17.50443686006826,37.56724778156997,126.99977064846418,
Spain,17.494880546075084,40.4,-3.682522866894198,ESP
Sri Lanka,30.015017064846415,6.931452559726962,79.8483180887372,
Sudan,30.789675767918087,13.869273720136519,28.491605460750854,
Suriname,24.55059829059829,5.832521538461539,-55.167478461538465,
Swaziland,22.06820512820513,-26.317478461538464,31.132521538461535,
Sweden,11.622866894197951,59.332522866894195,18.05,
Switzerland,12.305806451612904,46.90098290322581,7.605441612903227,
Syria,24.112820512820512,33.5,36.3,
Südkorea,26.1,37.57,127.0,
Tajikistan,24.09590443686007,38.56,68.77298156996586,
Tanzania,26.099488926746165,-6.182518568994889,35.75,
Thailand,30.730486763450045,16.26841024765158,100.65011101622545,
Timor-Leste,26.27846153846154,-8.558927863247865,125.57275692307692,
Togo,27.9,6.13,1.22,
Tonga,23.32235494880546,-21.13251723549488,-175.2,
Trinidad and Tobago,25.55008547008547,10.65,-61.5174841025641,
Tunisia,23.61917808219178,36.80213835616438,10.179770890410959,
Turkey,19.067378309137492,39.73909103330487,30.242658240819814,TUR
Turkmenistan,24.414163822525598,37.95,58.3825228668942,
Turkménistan,37.8,37.7,65.37,
Tuvalu,28.694037478705283,-8.51748143100511,179.21748143100513,
USA United States of America,24.53333333333333,26.936666666666667,-22.27666666666667,
Uganda,25.76023890784983,0.31663617747440276,32.5666361774744,
Ukraine,14.851618398637138,50.43251856899489,30.517481431005113,
United Arab Emirates,33.67683134582624,24.46748143100511,54.36748143100511,
United Kingdom,13.40034188034188,51.517779145299144,-0.10708991452991454,GBR
United States of America,9.086230636833047,48.02594629948365,-122.88836764199657,USA
Uruguay,13.725597269624574,-34.85855068259386,-56.17061023890785,
Uzbekistan,23.610562180579215,41.31748143100511,69.25,
Vanuatu,24.48310580204778,-17.7325228668942,168.3174771331058,
Vatican City,20.422998296422485,41.9030528109029,12.452289608177171,
Venezuela,23.455308219178082,10.5,-66.91748544520549,
Vietnam,27.156212424849702,21.06342785571142,105.37722444889779,
Yemen,22.98924914675768,15.353593174061432,44.2074771331058,
Zambia,25.156218057921638,-15.417481431005113,28.28251856899489,
Zimbabwe,23.894358974358976,-17.818315213675213,31.043599316239316,
Гватемала,15.9,14.62,-90.53,
Польша,24.2,51.12,17.53,
Турция,34.0,39.55,27.62,
كولومبيا,23.1,6.43,-70.92,
火鸡,29.7,38.85,34.65,
