country,total_days
Bélgica,1
Colombia,1
Estonie,1
Malásia,1
Jemen,1
Kosovo,1
Marrocos,1
Mexique,1
Lao People's Democratic Republic,1
Letonia,1
Libya,1
Inde,1
Komoren,1
Polônia,1
Saudi Arabien,1
Saint-Vincent-et-les-Grenadines,1
Польша,1
Turkménistan,1
Togo,1
Südkorea,1
火鸡,1
Гватемала,1
كولومبيا,1
Турция,1
USA United States of America,1
Cote d'Ivoire,126
Samoa,574
Tonga,575
United States of America,578
El Salvador,580
Costa Rica,580
Bahamas,580
New Zealand,580
Guatemala,580
Mexico,581
Micronesia,581
Honduras,581
Ecuador,581
Vanuatu,581
Peru,581
Nicaragua,581
Cuba,582
Belize,582
Panama,582
Solomon Islands,582
Dominican Republic,582
Greece,582
Grenada,582
Brazil,582
Macedonia,582
Haiti,582
Antigua and Barbuda,582
Jamaica,582
Canada,583
Chile,583
Democratic Republic of Congo,583
Guyana,583
Maldives,583
Mongolia,583
Czech Republic,583
Dominica,583
Bolivia,583
Australia,583
Barbados,583
Saint Vincent and the Grenadines,583
San Marino,583
Sierra Leone,583
Venezuela,583
Tunisia,583
Timor-Leste,583
Trinidad and Tobago,584
South Korea,584
Swaziland,584
Syria,584
Suriname,584
Morocco,584
Monaco,584
Luxembourg,584
Lebanon,584
Latvia,584
China,584
Kiribati,584
Georgia,584
India,584
Ireland,584
Djibouti,584
Croatia,584
North Korea,584
United Kingdom,584
Zimbabwe,584
Saudi Arabia,584
Palau,584
Saint Kitts and Nevis,584
Portugal,584
Papua New Guinea,584
Saint Lucia,584
Argentina,584
Bangladesh,584
Brunei Darussalam,584
Cameroon,584
Gambia,584
Ethiopia,584
Comoros,584
Liechtenstein,585
Montenegro,585
Namibia,585
Liberia,585
Malaysia,585
Lithuania,585
Lesotho,585
Algeria,585
Hungary,585
Cyprus,585
Burkina Faso,585
Benin,585
Bhutan,585
Belgium,585
Cambodia,585
Estonia,585
Kyrghyzstan,585
Israel,585
Italy,585
Iceland,585
Guinea,585
Kazakhstan,585
Japan,585
Azerbaijan,585
Austria,585
Uruguay,585
Slovakia,585
Somalia,585
Gabon,585
Central African Republic,585
Congo,585
Denmark,585
France,585
Egypt,585
Turkmenistan,585
Serbia,585
Sri Lanka,585
Spain,585
Qatar,585
Switzerland,585
Singapore,585
Tajikistan,585
Norway,585
Niger,585
Sweden,585
Uganda,585
Yemen,585
Rwanda,585
Romania,585
Paraguay,585
Pakistan,585
Seychelles Islands,585
Nepal,585
Philippines,585
Netherlands,585
Mauritius,586
Mozambique,586
Bulgaria,586
Burundi,586
Andorra,586
Mauritania,586
Marshall Islands,586
Malta,586
Malawi,586
Mali,586
Madagascar,586
Germany,586
Ghana,586
Iran,586
Iraq,586
Jordan,586
Kenya,586
Kuwait,586
Indonesia,586
Guinea-Bissau,586
Bosnia and Herzegovina,586
Botswana,586
Afghanistan,586
Angola,586
Bahrain,586
Belarus,586
Albania,586
Armenia,586
Chad,586
Cape Verde,586
Eritrea,586
Equatorial Guinea,586
Fiji Islands,586
Finland,586
Myanmar,586
Turkey,586
Thailand,586
Tanzania,586
Tuvalu,586
Slovenia,586
Sudan,586
Senegal,586
Oman,586
Poland,586
Russia,586
Nigeria,586
South Africa,586
Uzbekistan,586
Ukraine,586
United Arab Emirates,586
Zambia,586
Vietnam,586
Vatican City,586
